ImageId,sar,segm,rotation,x,y,fold
20190823144405_20190823144711_tile_3334,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823144405_20190823144711_tile_3334.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823144405_20190823144711_tile_3334.tif,0.0,592953.6485000231,5748640.626833178,2
20190823082625_20190823082938_tile_446,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823082625_20190823082938_tile_446.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823082625_20190823082938_tile_446.tif,1.0,593861.8893917414,5751167.751244683,4
20190823155824_20190823160121_tile_4539,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823155824_20190823160121_tile_4539.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823155824_20190823160121_tile_4539.tif,0.0,593375.5982163684,5749090.027758648,3
20190823080230_20190823080526_tile_1985,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823080230_20190823080526_tile_1985.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823080230_20190823080526_tile_1985.tif,0.0,595525.9790793853,5746931.660049429,8
20190823161251_20190823161546_tile_8307,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823161251_20190823161546_tile_8307.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823161251_20190823161546_tile_8307.tif,1.0,594541.2865158962,5753192.321937261,6
20190804143251_20190804143533_tile_337,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804143251_20190804143533_tile_337.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804143251_20190804143533_tile_337.tif,1.0,594555.3102195401,5751487.266472591,6
20190822085638_20190822085935_tile_10656,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822085638_20190822085935_tile_10656.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822085638_20190822085935_tile_10656.tif,1.0,594757.6603005428,5752169.429028732,6
20190822154658_20190822154950_tile_9375,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822154658_20190822154950_tile_9375.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822154658_20190822154950_tile_9375.tif,1.0,591702.0735103703,5753172.2430565,0
20190823082625_20190823082938_tile_451,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823082625_20190823082938_tile_451.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823082625_20190823082938_tile_451.tif,1.0,595211.8893917414,5751617.751244683,7
20190822162246_20190822162529_tile_7656,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822162246_20190822162529_tile_7656.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822162246_20190822162529_tile_7656.tif,0.0,595424.6645748826,5748192.313176204,8
20190804113009_20190804113242_tile_4811,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4811.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4811.tif,1.0,595434.4236182367,5750439.86555052,8
20190823075755_20190823080053_tile_10771,/data/train/AOI_11_Rotterdam/SAR-Intensity/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823075755_20190823080053_tile_10771.tif,/wdata/masks_cannab/SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823075755_20190823080053_tile_10771.tif,1.0,595414.995424524,5749987.366368881,8
